contact_form,crp_id,cspan_id,district,domain,fax,first_name,govtrack_id,icpsr_id,member_id,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account
,N00025219,1003620.0,26,burgess.house.gov,202-225-2919,Michael,400052.0,20355.0,B001248,True,Burgess,,C.,0.0,0.0,2018,ocd-division/country:us/state:tx/cd:26,2336 Rayburn House Office Building,R,202-225-7772,16,TX,0.0,259.0,MichaelCBurgess,http://burgess.house.gov,94.21,50120.0,michaelcburgessmd
,N00025292,1003621.0,1,robbishop.house.gov,202-225-5857,Rob,400029.0,20357.0,B001250,True,Bishop,,,6.0,2.32,2018,ocd-division/country:us/state:ut/cd:1,123 Cannon House Office Building,R,202-225-0453,16,UT,0.0,259.0,RepRobBishop,http://robbishop.house.gov,98.02,50544.0,CongressmanBishop
,N00027035,1013540.0,1,butterfield.house.gov,202-225-3354,G.,400616.0,20340.0,B001251,True,Butterfield,,K.,18.0,6.95,2018,ocd-division/country:us/state:nc/cd:1,2080 Rayburn House Office Building,D,202-225-3101,16,NC,0.0,259.0,GKButterfield,http://butterfield.house.gov,95.44,41077.0,GKBNC01
,N00027462,1022873.0,12,bilirakis.house.gov,202-225-4085,Gus,412250.0,20758.0,B001257,True,Bilirakis,,,2.0,0.77,2018,ocd-division/country:us/state:fl/cd:12,2112 Rayburn House Office Building,R,202-225-5755,14,FL,0.0,259.0,RepGusBilirakis,https://bilirakis.house.gov,98.05,17318.0,RepGusBilirakis
,N00027626,1021626.0,16,buchanan.house.gov,202-226-0828,Vern,412196.0,20709.0,B001260,True,Buchanan,,,10.0,3.86,2018,ocd-division/country:us/state:fl/cd:16,2104 Rayburn House Office Building,R,202-225-5015,12,FL,0.0,259.0,VernBuchanan,https://buchanan.house.gov,97.99,66247.0,vernbuchanan
,N00025495,29618.0,11,barletta.house.gov,202-225-0764,Lou,412469.0,21171.0,B001269,True,Barletta,,,22.0,8.49,2018,ocd-division/country:us/state:pa/cd:11,2049 Rayburn House Office Building,R,202-225-6511,8,PA,0.0,259.0,RepLouBarletta,http://barletta.house.gov,98.31,47143.0,reploubarletta
,N00031877,62502.0,37,bass.house.gov,202-225-2422,Karen,412404.0,21110.0,B001270,True,Bass,,,15.0,5.79,2018,ocd-division/country:us/state:ca/cd:37,2241 Rayburn House Office Building,D,202-225-7084,8,CA,0.0,259.0,RepKarenBass,https://bass.house.gov,94.26,28963.0,RepKarenBass
,N00031539,9268964.0,6,black.house.gov,202-225-6887,Diane,412478.0,21180.0,B001273,True,Black,,,4.0,1.54,2018,ocd-division/country:us/state:tn/cd:6,1131 Longworth House Office Building,R,202-225-4231,8,TN,0.0,259.0,RepDianeBlack,http://black.house.gov,98.04,25292.0,RepDianeBlack
,N00030910,94888.0,5,brooks.house.gov,202-225-4392,Mo,412395.0,21193.0,B001274,True,Brooks,,,3.0,1.16,2018,ocd-division/country:us/state:al/cd:5,2400 Rayburn House Office Building,R,202-225-4801,8,AL,0.0,259.0,RepMoBrooks,https://brooks.house.gov,96.48,121610.0,RepMoBrooks
,N00031227,61837.0,8,bucshon.house.gov,202-225-3284,Larry,412427.0,21132.0,B001275,True,Bucshon,,,5.0,1.93,2018,ocd-division/country:us/state:in/cd:8,1005 Longworth House Office Building,R,202-225-4636,8,IN,0.0,259.0,RepLarryBucshon,https://bucshon.house.gov,95.67,120335.0,RepLarryBucshon
,N00033474,63966.0,1,bonamici.house.gov,202-225-9497,Suzanne,412501.0,21198.0,B001278,True,Bonamici,,,0.0,0.0,2018,ocd-division/country:us/state:or/cd:1,439 Cannon House Office Building,D,202-225-0855,8,OR,0.0,259.0,RepBonamici,http://bonamici.house.gov,93.82,59641.0,RepSuzanneBonamici
,N00033904,67294.0,3,beatty.house.gov,202-225-1984,Joyce,412565.0,21352.0,B001281,True,Beatty,,,12.0,4.63,2018,ocd-division/country:us/state:oh/cd:3,133 Cannon House Office Building,D,202-225-4324,6,OH,0.0,259.0,RepBeatty,http://beatty.house.gov,95.95,2427.0,
,N00031233,61848.0,6,,,Andy,412541.0,21333.0,B001282,True,Barr,,,3.0,1.16,2018,ocd-division/country:us/state:ky/cd:6,1427 Longworth House Office Building,R,202-225-4706,6,KY,0.0,259.0,RepAndyBarr,https://barr.house.gov,96.88,117290.0,RepAndyBarr
,N00033532,79705.0,1,bridenstine.house.gov,918-935-2716,Jim,412567.0,21354.0,B001283,True,Bridenstine,,,16.0,6.18,2018,ocd-division/country:us/state:ok/cd:1,216 Cannon House Office Building,R,202-225-2211,6,OK,0.0,259.0,RepJBridenstine,http://bridenstine.house.gov,96.71,135894.0,RepJimBridenstine
,N00033495,623720.0,5,susanwbrooks.house.gov,202-225-0016,Susan,412539.0,21331.0,B001284,True,Brooks,,,0.0,0.0,2018,ocd-division/country:us/state:in/cd:5,1030 Longworth House Office Building,R,202-225-2276,6,IN,0.0,259.0,SusanWBrooks,http://susanwbrooks.house.gov,98.46,135988.0,SusanWBrooks
,N00034254,79783.0,26,juliabrownley.house.gov,202-225-1100,Julia,412516.0,21308.0,B001285,True,Brownley,,,0.0,0.0,2018,ocd-division/country:us/state:ca/cd:26,1019 Longworth House Office Building,D,202-225-5811,6,CA,0.0,259.0,JuliaBrownley26,http://juliabrownley.house.gov,94.21,59904.0,RepJuliaBrownley
,N00033390,63949.0,17,bustos.house.gov,309-786-3720,Cheri,412537.0,21329.0,B001286,True,Bustos,,,4.0,1.54,2018,ocd-division/country:us/state:il/cd:17,1009 Longworth House Office Building,D,202-225-5905,6,IL,0.0,259.0,RepCheri,https://bustos.house.gov,94.51,134964.0,RepCheri
,N00030717,1033636.0,7,bera.house.gov,202-226-1298,Ami,412512.0,21304.0,B001287,True,Bera,,,0.0,0.0,2018,ocd-division/country:us/state:ca/cd:7,1431 Longworth House Office Building,D,202-225-5716,6,CA,0.0,259.0,RepBera,http://bera.house.gov,91.89,120030.0,repamibera
,N00035380,73486.0,1,byrne.house.gov,202-225-0562,Bradley,412601.0,21376.0,B001289,True,Byrne,,,2.0,0.77,2018,ocd-division/country:us/state:al/cd:1,119 Cannon House Office Building,R,202-225-4931,6,AL,0.0,259.0,RepByrne,https://byrne.house.gov,97.67,27584.0,
,N00036013,75248.0,7,brat.house.gov,,David,412605.0,21553.0,B001290,True,Brat,,A.,5.0,1.93,2018,ocd-division/country:us/state:va/cd:7,1628 Longworth House Office Building,R,202-225-2815,6,VA,0.0,259.0,RepDaveBrat,http://brat.house.gov,96.46,152270.0,
,N00005736,44883.0,36,babin.house.gov,202-226-0396,Brian,412655.0,21551.0,B001291,True,Babin,,,0.0,0.0,2018,ocd-division/country:us/state:tx/cd:36,316 Cannon House Office Building,R,202-225-1555,4,TX,0.0,259.0,RepBrianBabin,http://babin.house.gov,95.37,360.0,
,N00036018,21141.0,8,beyer.house.gov,202-225-0017,Donald,412657.0,21554.0,B001292,True,Beyer,,,12.0,4.63,2018,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,D,202-225-4376,4,VA,0.0,259.0,repdonbeyer,http://beyer.house.gov,94.33,1707.0,
,N00036449,78290.0,8,,202-225-5820,Mike,412635.0,21527.0,B001293,True,Bishop,,,5.0,1.93,2018,ocd-division/country:us/state:mi/cd:8,428 Cannon House Office Building,R,202-225-4872,4,MI,0.0,259.0,RepMikeBishop,https://mikebishop.house.gov,96.85,20157.0,
,N00033744,623771.0,1,,,Rod,412627.0,21520.0,B001294,True,Blum,,,0.0,0.0,2018,ocd-division/country:us/state:ia/cd:1,1108 Longworth House Office Building,R,202-225-2911,4,IA,0.0,259.0,RepRodBlum,https://blum.house.gov,91.51,,
,N00035420,76176.0,12,,202-225-0285,Mike,412629.0,21519.0,B001295,True,Bost,,,2.0,0.77,2018,ocd-division/country:us/state:il/cd:12,1440 Longworth House Office Building,R,202-225-5661,4,IL,0.0,259.0,RepBost,https://bost.house.gov,94.55,,
,N00035307,76428.0,13,,202-226-0611,Brendan,412652.0,21548.0,B001296,True,Boyle,,,13.0,5.02,2018,ocd-division/country:us/state:pa/cd:13,1133 Longworth House Office Building,D,202-225-6111,4,PA,0.0,259.0,RepBrendanBoyle,https://boyle.house.gov,94.72,47357.0,
,N00030829,78285.0,4,,202-225-5870,Ken,412619.0,21510.0,B001297,True,Buck,,,2.0,0.77,2018,ocd-division/country:us/state:co/cd:4,1130 Longworth House Office Building,R,202-225-4676,4,CO,0.0,259.0,RepKenBuck,https://buck.house.gov,93.39,125319.0,
,N00037049,103442.0,2,bacon.house.gov,,Don,412713.0,,B001298,True,Bacon,,,0.0,0.0,2018,ocd-division/country:us/state:ne/cd:2,1516 Longworth House Office Building,R,202-225-4155,2,NE,0.0,259.0,,https://bacon.house.gov,98.07,166299.0,
,N00037185,89806.0,3,banks.house.gov,,Jim,412702.0,,B001299,True,Banks,,,1.0,0.39,2018,ocd-division/country:us/state:in/cd:3,509 Cannon House Office Building,R,202-225-4436,2,IN,0.0,259.0,RepJimBanks,https://banks.house.gov,97.67,116801.0,
,N00037019,104730.0,44,barragan.house.gov,,Nanette,412687.0,,B001300,True,Barragán,,,2.0,0.77,2018,ocd-division/country:us/state:ca/cd:44,1320 Longworth House Office Building,D,202-225-8220,2,CA,0.0,259.0,RepBarragan,https://barragan.house.gov,94.55,166270.0,
,N00039533,1020529.0,1,bergman.house.gov,,Jack,412709.0,,B001301,True,Bergman,,,0.0,0.0,2018,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,R,202-225-4735,2,MI,0.0,259.0,RepJackBergman,https://bergman.house.gov,94.98,170172.0,
,N00039293,105145.0,5,biggs.house.gov,,Andy,412683.0,,B001302,True,Biggs,,,0.0,0.0,2018,ocd-division/country:us/state:az/cd:5,1626 Longworth House Office Building,R,202-225-2635,2,AZ,0.0,259.0,RepAndyBiggsAZ,https://biggs.house.gov,94.98,28088.0,
,N00038414,104772.0,1,bluntrochester.house.gov,,Lisa,412689.0,,B001303,True,Blunt Rochester,,,3.0,1.16,2018,ocd-division/country:us/state:de/cd:1,1123 Longworth House Office Building,D,202-225-4165,2,DE,0.0,259.0,RepBRochester,https://bluntrochester.house.gov,96.88,173249.0,
,N00036999,1029537.0,4,anthonybrown.house.gov,,Anthony,412707.0,,B001304,True,Brown,,,13.0,5.02,2018,ocd-division/country:us/state:md/cd:4,1505 Longworth House Office Building,D,202-225-8699,2,MD,0.0,259.0,,https://anthonybrown.house.gov,96.34,19344.0,
,N00039551,103513.0,13,budd.house.gov,,Ted,412712.0,,B001305,True,Budd,,,1.0,0.39,2018,ocd-division/country:us/state:nc/cd:13,118 Cannon House Office Building,R,202-225-4531,2,NC,0.0,259.0,RepTedBudd,https://budd.house.gov,96.9,171489.0,
,N00007099,26709.0,42,calvert.house.gov,202-225-2004,Ken,400057.0,29323.0,C000059,True,Calvert,,,5.0,1.93,2018,ocd-division/country:us/state:ca/cd:42,2205 Rayburn House Office Building,R,202-225-1986,26,CA,0.0,259.0,KenCalvert,http://calvert.house.gov,98.43,26777.0,RepKenCalvert
,N00003689,36705.0,1,chabot.house.gov,202-225-3012,Steven,400071.0,29550.0,C000266,True,Chabot,,J.,0.0,0.0,2018,ocd-division/country:us/state:oh/cd:1,2371 Rayburn House Office Building,R,202-225-2216,8,OH,0.0,259.0,RepSteveChabot,http://chabot.house.gov,98.07,21790.0,congressmanchabot
,N00002408,21607.0,6,clyburn.house.gov,202-225-2313,James,400075.0,39301.0,C000537,True,Clyburn,,E.,12.0,4.63,2018,ocd-division/country:us/state:sc/cd:6,242 Cannon House Office Building,D,202-225-3315,26,SC,0.0,259.0,Clyburn,http://clyburn.house.gov,93.93,27066.0,repjamesclyburn
,N00004029,1824.0,13,conyers.house.gov,202-225-0072,John,400080.0,10713.0,C000714,True,Conyers Jr.,,,9.0,3.47,2018,ocd-division/country:us/state:mi/cd:13,2426 Rayburn House Office Building,D,202-225-5126,54,MI,0.0,259.0,RepJohnConyers,https://conyers.house.gov,94.4,26904.0,JCMI14
,N00003132,1201.0,5,www.cooper.house.gov,202-226-1035,Jim,400081.0,15019.0,C000754,True,Cooper,,,2.0,0.77,2018,ocd-division/country:us/state:tn/cd:5,1536 Longworth House Office Building,D,202-225-4311,16,TN,0.0,259.0,RepJimCooper,http://cooper.house.gov,90.27,48891.0,RepJimCooper
,N00001971,43300.0,7,cummings.house.gov,202-225-3178,Elijah,400090.0,29587.0,C000984,True,Cummings,,E.,12.0,4.63,2018,ocd-division/country:us/state:md/cd:7,2163 Rayburn House Office Building,D,202-225-4741,24,MD,0.0,259.0,RepCummings,https://cummings.house.gov,94.33,345.0,ElijahECummings
,N00000267,56760.0,7,www.house.gov/capuano/,202-225-9322,Michael,400063.0,29919.0,C001037,True,Capuano,,E.,2.0,0.77,2018,ocd-division/country:us/state:ma/cd:7,1414 Longworth House Office Building,D,202-225-5111,20,MA,1.0,259.0,RepMikeCapuano,http://capuano.house.gov,91.44,18883.0,RepMikeCapuano
,N00001127,57880.0,14,crowley.house.gov,202-225-1909,Joseph,400087.0,29925.0,C001038,True,Crowley,,,6.0,2.32,2018,ocd-division/country:us/state:ny/cd:14,1035 Longworth House Office Building,D,202-225-3965,20,NY,0.0,259.0,RepJoeCrowley,http://crowley.house.gov,95.65,4295.0,RepJoeCrowley
,N00009738,88078.0,7,culberson.house.gov,202-225-4381,John,400089.0,20139.0,C001048,True,Culberson,,,3.0,1.16,2018,ocd-division/country:us/state:tx/cd:7,2161 Rayburn House Office Building,R,202-225-2571,18,TX,0.0,259.0,CongCulberson,http://culberson.house.gov,98.05,5488.0,johnculbersontx07
,N00012460,88332.0,1,lacyclay.house.gov,202-226-3717,William,400074.0,20147.0,C001049,True,Clay,,Lacy,7.0,2.7,2018,ocd-division/country:us/state:mo/cd:1,2428 Rayburn House Office Building,D,202-225-2406,18,MO,0.0,259.0,,https://lacyclay.house.gov,94.84,8967.0,WilliamLacyClay
,N00025095,1004257.0,31,carter.house.gov,202-225-5886,John,400068.0,20356.0,C001051,True,Carter,,,0.0,0.0,2018,ocd-division/country:us/state:tx/cd:31,2110 Rayburn House Office Building,R,202-225-3864,16,TX,0.0,259.0,JudgeCarter,https://carter.house.gov,97.68,49296.0,repjohncarter
,N00025726,1003609.0,4,cole.house.gov,202-225-3512,Tom,400077.0,20344.0,C001053,True,Cole,,,3.0,1.16,2018,ocd-division/country:us/state:ok/cd:4,2467 Rayburn House Office Building,R,202-225-6165,16,OK,0.0,259.0,TomColeOK04,https://cole.house.gov,97.27,46034.0,reptomcole
,N00026341,19599.0,16,costa.house.gov,202-225-9308,Jim,400618.0,20501.0,C001059,True,Costa,,,8.0,3.09,2018,ocd-division/country:us/state:ca/cd:16,2081 Rayburn House Office Building,D,202-225-3341,14,CA,0.0,259.0,RepJimCosta,https://costa.house.gov,83.27,3577.0,RepJimCostaCA20
,N00026790,10933.0,5,cleaver.house.gov,202-225-4403,Emanuel,400639.0,20517.0,C001061,True,Cleaver II,,,35.0,13.51,2018,ocd-division/country:us/state:mo/cd:5,2335 Rayburn House Office Building,D,202-225-4535,14,MO,0.0,259.0,RepCleaver,http://cleaver.house.gov,95.54,39507.0,repcleaver
,N00026041,1004595.0,11,conaway.house.gov,202-225-1783,K.,400655.0,20531.0,C001062,True,Conaway,,Michael,0.0,0.0,2018,ocd-division/country:us/state:tx/cd:11,2430 Rayburn House Office Building,R,202-225-3605,14,TX,0.0,259.0,ConawayTX11,http://conaway.house.gov,94.59,49935.0,mikeconaway11
,N00024978,1013062.0,28,cuellar.house.gov,202-225-1641,Henry,400657.0,20533.0,C001063,True,Cuellar,,,4.0,1.54,2018,ocd-division/country:us/state:tx/cd:28,2209 Rayburn House Office Building,D,202-225-1640,14,TX,0.0,259.0,RepCuellar,http://cuellar.house.gov,83.53,5486.0,henrycuellar
,N00027514,1022874.0,14,castor.house.gov,202-225-5652,Kathy,412195.0,20708.0,C001066,True,Castor,,,3.0,1.16,2018,ocd-division/country:us/state:fl/cd:14,2052 Rayburn House Office Building,D,202-225-3376,12,FL,0.0,259.0,USRepKCastor,http://castor.house.gov,95.31,53825.0,RepKathyCastor
,N00026961,1022875.0,9,clarke.house.gov,202-226-0112,Yvette,412221.0,20733.0,C001067,True,Clarke,,D.,4.0,1.54,2018,ocd-division/country:us/state:ny/cd:9,2058 Rayburn House Office Building,D,202-225-6231,12,NY,0.0,259.0,RepYvetteClarke,https://clarke.house.gov,94.9,44741.0,repyvetteclarke
,N00003225,1022876.0,9,cohen.house.gov,202-225-5663,Steve,412236.0,20748.0,C001068,True,Cohen,,,1.0,0.39,2018,ocd-division/country:us/state:tn/cd:9,2404 Rayburn House Office Building,D,202-225-3265,12,TN,0.0,259.0,RepCohen,https://cohen.house.gov,94.19,24340.0,repcohen
,N00024842,1021284.0,2,courtney.house.gov,202-225-4977,Joe,412193.0,20706.0,C001069,True,Courtney,,,0.0,0.0,2018,ocd-division/country:us/state:ct/cd:2,2348 Rayburn House Office Building,D,202-225-2076,12,CT,0.0,259.0,RepJoeCourtney,https://courtney.house.gov,95.75,30333.0,repcourtney
,N00029513,1027364.0,7,carson.house.gov,202-225-5633,André,412258.0,20757.0,C001072,True,Carson,,,11.0,4.25,2018,ocd-division/country:us/state:in/cd:7,2135 Rayburn House Office Building,D,202-225-4011,12,IN,0.0,259.0,RepAndreCarson,http://carson.house.gov,94.76,84917.0,repandrecarson
,N00028958,1031362.0,3,chaffetz.house.gov,202-225-5629,Jason,412270.0,20949.0,C001076,True,Chaffetz,,,25.0,9.65,2018,ocd-division/country:us/state:ut/cd:3,2236 Rayburn House Office Building,R,202-225-7751,10,UT,0.0,259.0,JasonInTheHouse,https://chaffetz.house.gov,97.44,103482.0,JasonChaffetz
,N00024753,1031340.0,6,coffman.house.gov,202-226-4623,Mike,412271.0,20906.0,C001077,True,Coffman,,,3.0,1.16,2018,ocd-division/country:us/state:co/cd:6,2443 Rayburn House Office Building,R,202-225-7882,10,CO,0.0,259.0,RepMikeCoffman,http://coffman.house.gov,94.14,1535.0,CongressmanCoffman
,N00029891,1015936.0,11,connolly.house.gov,202-225-3071,Gerald,412272.0,20952.0,C001078,True,Connolly,,E.,3.0,1.16,2018,ocd-division/country:us/state:va/cd:11,2238 Rayburn House Office Building,D,202-225-1492,10,VA,0.0,259.0,GerryConnolly,https://connolly.house.gov,93.75,95078.0,repconnolly
,N00030600,92573.0,27,chu.house.gov,202-225-5467,Judy,412379.0,20955.0,C001080,True,Chu,,,5.0,1.93,2018,ocd-division/country:us/state:ca/cd:27,2423 Rayburn House Office Building,D,202-225-5464,12,CA,0.0,259.0,RepJudyChu,https://chu.house.gov,94.88,16539.0,RepJudyChu
,N00032019,1033865.0,1,cicilline.house.gov,202-225-3290,David,412470.0,21172.0,C001084,True,Cicilline,,,3.0,1.16,2018,ocd-division/country:us/state:ri/cd:1,2244 Rayburn House Office Building,D,202-225-4911,8,RI,0.0,259.0,RepCicilline,http://cicilline.house.gov,95.7,7349.0,RepDavidCicilline
,N00030770,623259.0,1,crawford.house.gov,202-225-5602,Rick,412400.0,21106.0,C001087,True,Crawford,,,7.0,2.7,2018,ocd-division/country:us/state:ar/cd:1,2422 Rayburn House Office Building,R,202-225-4076,8,AR,0.0,259.0,RepRickCrawford,http://crawford.house.gov,98.41,119208.0,RepRickCrawford
,N00034128,79865.0,17,cartwright.house.gov,570-341-1055,Matt,412571.0,21358.0,C001090,True,Cartwright,,,2.0,0.77,2018,ocd-division/country:us/state:pa/cd:17,1034 Longworth House Office Building,D,202-225-5546,6,PA,0.0,259.0,RepCartwright,http://cartwright.house.gov,94.16,136236.0,
,N00033316,63974.0,20,castro.house.gov,202-225-1915,Joaquín,412576.0,21362.0,C001091,True,Castro,,,4.0,1.54,2018,ocd-division/country:us/state:tx/cd:20,1221 Longworth House Office Building,D,202-225-3236,6,TX,0.0,259.0,JoaquinCastrotx,https://castro.house.gov,94.12,49227.0,JoaquinCastroTX
,N00001285,94144.0,27,chriscollins.house.gov,202-225-5910,Chris,412563.0,21345.0,C001092,True,Collins,,,30.0,11.58,2018,ocd-division/country:us/state:ny/cd:27,1117 Longworth House Office Building,R,202-225-5265,6,NY,0.0,259.0,RepChrisCollins,https://chriscollins.house.gov,98.25,139770.0,RepChrisCollins
,N00033518,79719.0,9,dougcollins.house.gov,202-226-1224,Doug,412531.0,21323.0,C001093,True,Collins,,,2.0,0.77,2018,ocd-division/country:us/state:ga/cd:9,1504 Longworth House Office Building,R,202-225-9893,6,GA,0.0,259.0,RepDougCollins,https://dougcollins.house.gov,94.55,67851.0,repdougcollins
,N00034224,68278.0,8,cook.house.gov,202-225-6498,Paul,412513.0,21305.0,C001094,True,Cook,,,0.0,0.0,2018,ocd-division/country:us/state:ca/cd:8,1222 Longworth House Office Building,R,202-225-5861,6,CA,0.0,259.0,RepPaulCook,http://cook.house.gov,98.07,58121.0,RepPaulCook
,N00004614,7600.0,1,cramer.house.gov,202-226-0893,Kevin,412555.0,21350.0,C001096,True,Cramer,,,3.0,1.16,2018,ocd-division/country:us/state:nd/cd:1,1717 Longworth House Office Building,R,202-225-2611,6,ND,0.0,259.0,RepKevinCramer,http://cramer.house.gov,98.44,444.0,kevincramer
,N00033373,63934.0,29,cardenas.house.gov,202-225-0819,Tony,412517.0,21309.0,C001097,True,Cardenas,,,6.0,2.32,2018,ocd-division/country:us/state:ca/cd:29,1510 Longworth House Office Building,D,202-225-6131,6,CA,0.0,259.0,RepCardenas,https://cardenas.house.gov,94.07,9754.0,repcardenas
,N00035278,73178.0,5,katherineclark.house.gov,202-226-0092,Katherine,412600.0,21375.0,C001101,True,Clark,,,14.0,5.41,2018,ocd-division/country:us/state:ma/cd:5,1415 Longworth House Office Building,D,202-225-2836,6,MA,0.0,259.0,RepKClark,https://katherineclark.house.gov,95.51,35858.0,
,N00035346,76158.0,1,buddycarter.house.gov,202-226-2269,Buddy,412622.0,21513.0,C001103,True,Carter,,,6.0,2.32,2018,ocd-division/country:us/state:ga/cd:1,432 Cannon House Office Building,R,202-225-5831,4,GA,0.0,259.0,RepBuddyCarter,http://buddycarter.house.gov,94.07,32085.0,
,N00036023,57186.0,10,,202-225-0437,Barbara,412658.0,21555.0,C001105,True,Comstock,,,7.0,2.7,2018,ocd-division/country:us/state:va/cd:10,229 Cannon House Office Building,R,202-225-5136,4,VA,0.0,259.0,RepComstock,https://comstock.house.gov,98.02,112252.0,
